fold,seed,candidate_id,checkpoint_path,checkpoint_sha256,preprocessing_state_sha256,selected_edges_sha256,held_out_n,reload_max_probability_error,reload_status,xai_result_sha256
3,43,C12,model_checkpoints/fold_03/seed_43/model_checkpoint.pt,4d0c17f03c1cb9cf9e573a4fddba5a2955861919d3a6b1b36e557fc08f7f02a9,7bf113e3cc76b9b9b320122de9df79e5626f6fdba475697ad419e5f592c94dbe,d6fe3ed0213aecd43f88070556f7f6cd2ee2a205b3220c025cc0c6b3b198e9ee,88,0,PASS,e8ff30ce0ce8637b5a3ba234975769e1dc5adcbfe4498de7a8b5e97d8c216f1d
3,44,C12,model_checkpoints/fold_03/seed_44/model_checkpoint.pt,1672b06ce28aa1081c6a66bc9469acb25a20a19c2fd27d9beaf880159efe192a,7bf113e3cc76b9b9b320122de9df79e5626f6fdba475697ad419e5f592c94dbe,d6fe3ed0213aecd43f88070556f7f6cd2ee2a205b3220c025cc0c6b3b198e9ee,88,0,PASS,b7e84f0d9db48e7df9d3f2953f7d7990bf2d8e317ccb4923be6410cfe02900cf
4,42,C11,model_checkpoints/fold_04/seed_42/model_checkpoint.pt,38af9e7df5b4a50832232b05c7d319917f44ccf22323adfc1a805c5f8a613ac7,d65e076e3b499d669d49b8cf12cf81749333d74c9f89a25d02769d5f80bb995b,0f3758df54bca20cd43961e1ec003125efaa51f199b838745c14e21aa7ec019d,88,0,PASS,74ae32954ba3d8f3bbe65f6a3bed2b2da3c4667abd6875ecb6bdfcfd681577ad
4,43,C11,model_checkpoints/fold_04/seed_43/model_checkpoint.pt,13d17e27e11dcf9bacb6c0363a26e5cd7cc95faece4f5ff7c4b13c410724a9d5,d65e076e3b499d669d49b8cf12cf81749333d74c9f89a25d02769d5f80bb995b,0f3758df54bca20cd43961e1ec003125efaa51f199b838745c14e21aa7ec019d,88,0,PASS,b9f9d7c44b22a4b25c9dbba31e3fc853f552eb06397f5061aeae6e638b3f98e1
4,44,C11,model_checkpoints/fold_04/seed_44/model_checkpoint.pt,9dacea0ba8f28d0aca4b07baea756fbb1262c2e52819ffb6550ea176510956ea,d65e076e3b499d669d49b8cf12cf81749333d74c9f89a25d02769d5f80bb995b,0f3758df54bca20cd43961e1ec003125efaa51f199b838745c14e21aa7ec019d,88,0,PASS,75f8cc3679b0b9a70c35f5ba350875254b1b590da707b6a7d3f7a09e7196d6bc
5,42,C09,model_checkpoints/fold_05/seed_42/model_checkpoint.pt,50a49aa4878b83e2a09c31a7ab4b90f4ea2bc056e2701eec5351644622e25085,d1becca4b0e705d6e055e99238044afcab35fd2acfab870430c145708c2ab17a,b8f75068fba7ecc6ef3e00d4d14e14269479d8cc7326267cb5ac1bd02ae27263,88,0,PASS,203a11b794acb7d72f66008ab6f3e99008fb3479c047d0b45cdc4fe06dffd868
5,43,C09,model_checkpoints/fold_05/seed_43/model_checkpoint.pt,a0932561636770b05e3880c8befe5e5096d9acacf8496525571c03727c86139b,d1becca4b0e705d6e055e99238044afcab35fd2acfab870430c145708c2ab17a,b8f75068fba7ecc6ef3e00d4d14e14269479d8cc7326267cb5ac1bd02ae27263,88,0,PASS,95fa2a8dfbc779e9839adf633f6bff9487bdd8c15ea0a77f23b5cce4e74dc7ea
5,44,C09,model_checkpoints/fold_05/seed_44/model_checkpoint.pt,1f272d0d421037bde3ba1f9f6267539e94659da209548fc70ac47d1587f2db7b,d1becca4b0e705d6e055e99238044afcab35fd2acfab870430c145708c2ab17a,b8f75068fba7ecc6ef3e00d4d14e14269479d8cc7326267cb5ac1bd02ae27263,88,0,PASS,d1bb47c8e14279bdae873b1f8199e82b4131ef3a0b63ba2ad5cc6e5fe10d4ea9
6,42,C12,model_checkpoints/fold_06/seed_42/model_checkpoint.pt,5c5df0dda5e48fdf8614837f053f4302a0230168508b4ec16bb6aacb1442167d,745b1cd4c2a146d371fe184ef0d9153361d9186ea3498e8a9dbfdd901b3cf54b,341951b3587cefe9afb8f13d01097a5f81308c9bb956096ac457b0e5b231cd43,88,0,PASS,0380db42d3567547c2fb32862161d80a8bb773a8635d8dfa893f72fa8dab5ff6
6,43,C12,model_checkpoints/fold_06/seed_43/model_checkpoint.pt,a24422c4220653ce48f2c36e6a4380ad38e49faf07605b9c7c95f8809a498d1f,745b1cd4c2a146d371fe184ef0d9153361d9186ea3498e8a9dbfdd901b3cf54b,341951b3587cefe9afb8f13d01097a5f81308c9bb956096ac457b0e5b231cd43,88,0,PASS,4f5b853ff84435133db98e2994fb88078c97fac5e2e0219a954fbd3376b02d7d
6,44,C12,model_checkpoints/fold_06/seed_44/model_checkpoint.pt,6a6a4e5a7e6995feb81b6a05659334da76f0c4332c7ba7a0cba1395393cd17fb,745b1cd4c2a146d371fe184ef0d9153361d9186ea3498e8a9dbfdd901b3cf54b,341951b3587cefe9afb8f13d01097a5f81308c9bb956096ac457b0e5b231cd43,88,0,PASS,8457a5bed3e16e70f21c2b4e5628585859c08b6bb32fa6e5a1ba0a325ef99ada
7,42,C11,model_checkpoints/fold_07/seed_42/model_checkpoint.pt,76a12eebc52f94e8773d2b74e159f71bb335825bdda105c59175de51405db129,5907c806292c31dc1de0deda2c220e96d3eed33df16fa844bc3bd1e0883abccd,c2e57028d7ba04ee3d66ef250ea0396167de8efa3d944652a8f77ce487f4b84e,88,0,PASS,269940e9ad71c1d6c3812dd37fe4813a63fa8f621798ee7a4064519d64a2b7f7
7,43,C11,model_checkpoints/fold_07/seed_43/model_checkpoint.pt,15c346b625fc4d27a3dc0ad2dd6f77136c46e08a7fe0691c50112a242def355d,5907c806292c31dc1de0deda2c220e96d3eed33df16fa844bc3bd1e0883abccd,c2e57028d7ba04ee3d66ef250ea0396167de8efa3d944652a8f77ce487f4b84e,88,0,PASS,00cd5e5fb9b49312b865806505437e4aad1c3e7bf7faa7f86f3123b1d6697687
7,44,C11,model_checkpoints/fold_07/seed_44/model_checkpoint.pt,22554bbe39b3eb4024c43911261752b25ae95524a435aa753e54e48192f8086f,5907c806292c31dc1de0deda2c220e96d3eed33df16fa844bc3bd1e0883abccd,c2e57028d7ba04ee3d66ef250ea0396167de8efa3d944652a8f77ce487f4b84e,88,0,PASS,fea9f6efef7dd1a90dabf9fc3610c407ef764ce4ab7bfcd26e052158143e3699
8,42,C07,model_checkpoints/fold_08/seed_42/model_checkpoint.pt,7d522cbb688f8d3e77153d2194ac0ce4dde013cc2b79bb1364f64d20c14badbf,eb826c23e017ea827ba40dc542691ca5d10f90bd4b8edfb07eec98e09560ccca,e4cd40339f9f43f7ec800d80fb6f06159babc4760d4c142866c9751770fdfef0,88,0,PASS,d0cd8632f857db05fc940f0aa84a8b763d1577e4c3f39ab7642615e79bac95af
8,43,C07,model_checkpoints/fold_08/seed_43/model_checkpoint.pt,2e0f775e8fc79bae1890ad3025f20deb84984aaec3abfc2ace41fee7c013985f,eb826c23e017ea827ba40dc542691ca5d10f90bd4b8edfb07eec98e09560ccca,e4cd40339f9f43f7ec800d80fb6f06159babc4760d4c142866c9751770fdfef0,88,0,PASS,f43eb83372ee73f33ef07d557d7b3856c80c9d1a84fe746949989ead6479e2b3
8,44,C07,model_checkpoints/fold_08/seed_44/model_checkpoint.pt,f38c58669fd8eae6a215b9ce9eb81d3584ef64457bbe34ec6a069ea0fd5a2bf5,eb826c23e017ea827ba40dc542691ca5d10f90bd4b8edfb07eec98e09560ccca,e4cd40339f9f43f7ec800d80fb6f06159babc4760d4c142866c9751770fdfef0,88,0,PASS,bf0d033a4f65f6184e871a1b44083215d9f7f4d179b5160501a76ac1547ca559
9,42,C08,model_checkpoints/fold_09/seed_42/model_checkpoint.pt,53eb3779a25b52782c7394b4a7a8d18ebd8931efeca82a5d73f2b5fd48686aec,1c6e5e58773ae5362e9181390f21055488a3c650d2598252ab3514e235d66b51,c9183eb9d0fb1042deecf54bc5f7d261ed67e54a7cb5df37abcc05500a9eb9b0,87,0,PASS,62406c7168679cab874f6fcc23c69d6b82cc1c30c7aea087735825ea77726ea9
9,43,C08,model_checkpoints/fold_09/seed_43/model_checkpoint.pt,8dda122b3e25ac6c5c81fd836f70b51ba072e83e89890f44a1e6fb09d5669b57,1c6e5e58773ae5362e9181390f21055488a3c650d2598252ab3514e235d66b51,c9183eb9d0fb1042deecf54bc5f7d261ed67e54a7cb5df37abcc05500a9eb9b0,87,0,PASS,2d70a03aec0495d84d2e81764eafa674c82949da3819ab91d7f9bf47e2d8cc12
9,44,C08,model_checkpoints/fold_09/seed_44/model_checkpoint.pt,e7acd985abfed2ebdab09574e60423bb27d1b653f520d56ac28c8fbbf11e79b8,1c6e5e58773ae5362e9181390f21055488a3c650d2598252ab3514e235d66b51,c9183eb9d0fb1042deecf54bc5f7d261ed67e54a7cb5df37abcc05500a9eb9b0,87,0,PASS,b47c2081fe998e71ad913c786af9422bfa50183aaf6c16e565c485339840a2b8
